,SKM_old_train_01,SKM_old_train_02,SKM_old_train_03,SKM_old_train_04,SKM_old_train_05,SKM_old_train_06,SKM_old_train_07,SKM_old_train_08,SKM_old_train_09,SKM_old_train_10,SKM_old_train_11,SKM_old_train_12,SKM_old_untr_01,SKM_old_untr_02,SKM_old_untr_03,SKM_old_untr_04,SKM_old_untr_05,SKM_old_untr_06,SKM_old_untr_07,SKM_old_untr_08,SKM_old_untr_09,SKM_old_untr_10,SKM_old_untr_11,SKM_old_untr_12
3HBCDm,19.302745654237132,49.919725206835764,53.42992857973882,30.198539929293734,22.579548696477005,20.81007360306089,33.92385884423407,44.503461207580216,19.046371952649107,27.84883787449945,23.45069164130451,39.56307218559202,27.256740196091915,23.577081196061677,35.12960932516233,19.795353205798833,24.333401936974713,18.41386270891082,15.645143841715532,16.167422684378774,26.095578626182924,43.656041644263,29.376403439940518,42.19230749931961
3HBCOAHLm,41.08834354700866,137.03124066212592,170.65061118980884,80.9151409681814,144.34137318643047,65.98543866722045,124.876431246738,40.714581567371994,89.20098234821003,81.84656773179739,84.17971119156849,133.91209401612286,125.25272088886976,26.768455249439356,138.7985762705395,89.7548834564879,86.47281637952553,134.65713923513238,79.41278438294736,87.30594469900767,87.29016595522936,85.61980039195741,72.71015968796584,134.02979691216004
3HKYNAKGAT,,,,,,,,,,,,,,,,,,,,,,,,
3HLYTCL,,,,,,,,,,,,,,,,,,,,,,,,
3HPCOAHYD,,,,,,,,,,,,,,,,,,,,,,,,
3HPPD,,,,,,,,,,,,,,,,,,,,,,,,
3HXKYNDCL,,,,,,,,,,,,,,,,,,,,,,,,
3HXKYNOXDA,,,,,,,,,,,,,,,,,,,,,,,,
3M4HDXPAC,,,,,,,,,,,,,,,,,,,,,,,,
3MOX4HOXPGALDOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
3MOX4HOXPGALDOX_NADP_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
3MOXTYROX,,,,,,,,,,,,,,,,,,,,,,,,
3NTD7l,,,,,,,,,,,,,,,,,,,,,,,,
3SALACBOXL,,7.432688684220327,,19.281967328314543,14.611741060827322,6.134679153949256,,,,,,7.202438310027403,7.314152369056211,20.081436585954567,,23.834246768753637,8.377725810102117,,7.599964647467313,,,9.242019726767252,,
