,L_MODEL1707110525,L_MODEL1707110526,L_MODEL1707110527,L_MODEL1707110528,L_MODEL1707110529,L_MODEL1707110530,L_MODEL1707110531,L_MODEL1707110532,L_MODEL1707110533,L_MODEL1707110534,L_MODEL1707110535,L_MODEL1707110536,L_MODEL1707110537,L_MODEL1707110538,L_MODEL1707110539,L_MODEL1707110540,L_MODEL1707110541,L_MODEL1707110542,L_MODEL1707110543,L_MODEL1707110688,L_MODEL1707110791,L_MODEL1707110975,L_MODEL1707111000,L_MODEL1707111001,L_MODEL1707111002,L_MODEL1707112651,L_MODEL1707112652,L_MODEL1707112653,L_MODEL1707112654,L_MODEL1707112655,L_MODEL1707112656,L_MODEL1707112657,L_MODEL1707112658,L_MODEL1707112659,L_MODEL1707112660,L_MODEL1707112661,L_MODEL1707112662,L_MODEL1707112663,L_MODEL1707112664,L_MODEL1707112665,L_MODEL1707112666,L_MODEL1707112667,L_MODEL1707112668,L_MODEL1707112669,L_MODEL1707112670,L_MODEL1707112671,L_MODEL1707112672,L_MODEL1707112673,L_MODEL1707112674,L_MODEL1707113217,S_MODEL1707112675,S_MODEL1707112676,S_MODEL1707112677,S_MODEL1707112678,S_MODEL1707112679,S_MODEL1707112680,S_MODEL1707112681,S_MODEL1707112682,S_MODEL1707112683,S_MODEL1707112684,S_MODEL1707112685,S_MODEL1707112686,S_MODEL1707112687,S_MODEL1707112688,S_MODEL1707112689,S_MODEL1707112690,S_MODEL1707112691,S_MODEL1707112692,S_MODEL1707113891,S_MODEL1707114025,S_MODEL1707114026,S_MODEL1707114027,S_MODEL1707114599,S_MODEL1707114600,S_MODEL1707114601,S_MODEL1707114602,S_MODEL1707114603,S_MODEL1707114604,S_MODEL1707114605,S_MODEL1707114606,S_MODEL1707114607,S_MODEL1707114608,S_MODEL1707114609,S_MODEL1707114610,S_MODEL1707114611,S_MODEL1707114612,S_MODEL1707114613,S_MODEL1707114614,S_MODEL1707114615,S_MODEL1707114616,S_MODEL1707114617,S_MODEL1707114618,S_MODEL1707114619,S_MODEL1707114620,S_MODEL1707114621,S_MODEL1707114622,S_MODEL1707114623,S_MODEL1707114624,S_MODEL1707114625,S_MODEL1707114626
HMR_4012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983877416004909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7747123909557365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.95797950999963,0.0,0.0,0.6309176963468663,0.0,0.0,0.0
HMR_4020,-9.501834108079006,-4.047292367636744,-10.77545221100862,-5.503200781313599,-1.878352095452222,-2.9852341331389143,-4.6477159571529345,-8.931056523782006,-3.6095893893968807,-5.1155760293211365,-4.26259973671614,-7.675988790805342,-5.560451827341104,-9.645809947671374,-9.781636432954917,-19.828687476382186,-8.356960680212064,-6.415559433510811,-3.3460433414747413,-9.501463553413046,-3.6453130323005243,-9.507169960527378,-3.0566926301259825,-4.664683896470513,-7.481559041726217,-3.6163734576049933,-5.386750434812107,-8.763959618070661,-2.265456068749247,-8.160847989734151,-10.4771,-11.9933,-3.5016235608523942,-4.646296012587767,-6.950740693527692,-4.522682979769714,-3.2724529649302654,-9.25504967128978,-4.464798186178598,-11.993300000000001,-6.338119426287771,-11.993300000000001,-4.924095422162843,-4.98387741600491,-11.993299999937271,-10.477099999999993,-3.197778822184592,-4.906516370914058,-3.2136378789240934,-11.00940990868556,-2.110278851451387,-11.993300040494733,-1.7800714550534025,-2.569045011087841,-633.2761042979942,-10.4771,-4.6144074426409905,-11.9933,-9.061366849609328,-11.9933,-990.1456454078827,-11.046607197171507,-11.9933,-2.936303545159302,-1.214052453951522,-2.6233151076613694,-4.012453162460193,-12.052456989683277,-1.9931383368002602,-2.99187269918922,-8.246687099275665,-5.8595660271416765,-3.290029832829933,-3.2890264788231356,-9.5906135396693,-6.834453114017038,-10.556300398589812,-2.5506100264654785,-7.5081489000927055,-6.814663260733397,-8.026912765023326,-5.758722053804462,-9.530051958057319,-2.904032882844975,-9.238606044324886,-6.1280557436020535,-2.1822913244080016,-10.431911338934905,-3.4840757936528965,-2.431153179078338,-10.973360101536823,-4.589019078543068,-5.520221485072076,-2.038141585964975,-9.038084868993042,-11.993300000000001,-3.3270831498029585,-2.9431587395248684,-2.5195083864848113,-1.7472120673987774
HMR_4038,0.0,90.2287264058545,0.0,32.93027016025109,0.0,113.12972214423601,0.0,177.06499613840276,0.0,96.48411445052895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.18487701218464,0.0,37.88749837408432,0.0,0.0,-1.4774656754068165e-13,219.21575512640447,187.59326068894634,263.32083344899405,3.019806626980426e-14,0.0,0.0,0.0,0.0,215.57518103345774,0.0,0.0,0.0,44.51715155847305,0.0,74.03234864400092,6.283900000000001,271.2779678952606,0.0,0.0,0.0,0.0,0.0,293.64734566955,478.98523138334787,0.0,0.0,0.0,14.675172752682148,57.80956490057156,0.0,0.0,0.0,425.96040563781463,7.42105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.79430853565975,0.0,0.0,0.0,44.08120171226079,397.86343131045453,0.0,0.0,0.0,0.0,0.0,-1.6579330501069005e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.716538182588378,0.0,0.0,0.0,0.0,0.0,0.0,88.92061744698734,52.12449836996413,27.029278850982315,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4040,0.0,5.3908870336349096e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088261511531094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.217248937900877e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1316282072803006e-14,26.062249184982065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4042,0.0,90.2287264058545,0.0,0.0,0.0,0.0,0.0,176.62253679955492,0.0,47.68911522012674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.59326068894634,0.0,0.0,0.0,13.074325451226677,0.0,0.0,0.0,0.0,0.0,0.0,44.51715155847305,0.0,74.03234864400092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.64734566955,0.0,0.0,0.0,0.0,0.0,57.80956490057156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.44605082038866,0.0,66.29906825181081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4073033378009412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0658141036401503e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.423034178129512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.4546070729358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.356960680212064,6.415559433510811,0.0,0.0,5.575184637636092,7.443415997958773,0.0,0.0,373.5447159460696,0.0,0.0,0.0,5.791593864085884,0.0,26.3972,0.0,0.0,0.0,0.0,0.0,0.0,9.25504967128978,0.0,0.0,0.0,0.0,0.0,0.0,8.658527333338853,16.02379999999999,0.0,11.833363012204472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.019127672522927,10.760699999999979,0.0,9.719,0.0,0.0,0.0,2.936303545159302,0.0,0.0,0.0,25.951498462781167,0.0,0.0,0.0,0.0,396.6634024548973,0.0,160.77017082559146,6.834453114017045,0.0,8.702126810814425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.574822499525176,0.0,0.0,0.0,0.0,13.96746711097285,4.5890190785430605,0.0,4.915517942621417,0.0,0.0,0.0,0.0,6.516975144041021,0.0
HMR_4085,14.532216871179656,94.27601877350571,10.77545221100862,12.98595335326572,1.8783520954522221,7.199682321099728,4.6477159571529345,0.0,9.202070787924065,308.9185953987186,4.26259973671614,7.675988790805342,13.328263894820232,401.40572032521027,9.781636432954917,27.66407495276438,0.0,0.0,180.53092035365938,14.878416544429623,0.0,2.0637539625685934,7.372023402068545,391.6525818622971,238.3422136075792,383.6891969627097,10.822681147875606,8.763959618070691,0.0,61.941573259749006,0.0,0.0,58.63543042976549,6.795129952622672,151.9517431208036,745.5959666841856,500.40725292853114,0.0,218.76812857409982,17.54,6.338119426287771,434.4927363682447,12.73669404922831,4.983877416004909,0.0,0.0,296.8451244917346,0.0,8.215602005139056,25.979005528314545,629.942104908384,352.80764919742467,919.51873582798,6.157936608151279,1000.0,757.8147858405733,0.0,153.94858924196961,83.87467698484664,2.2743,1000.0000000000001,33.945381663947266,1000.0,0.0,2.9100533537321227,6.288020671676122,4.012453162460247,0.0,3.4809865898583423,7.738795440943048,12.060641501613013,871.8782385913962,0.0,71.73291526300414,0.0,0.0,10.556300398589812,0.0,17.71704781643531,16.33457731740115,20.463330175230112,14.680940758179268,9.530051958057436,7.4241029245269505,342.20220298223455,0.0,2.1822913244080016,436.11839754620894,12.136162148290651,3.8384565168792792,2.0808879023225635,0.0,810.3516500876597,0.0,9.03808486899304,11.993300000000001,3.3270831498029585,4.501301601626274,0.0,1.7472120673987774
HMR_4134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.4244845739899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4171,0.0,0.0,0.0,0.0,0.2374623704172045,0.0,0.0,176.62253679955492,0.0,0.0,867.0227533275894,0.0,0.0,0.0,0.0,9.35158747638219,0.0,105.47414521578617,0.0,0.0,0.0,0.0,245.29871342403683,0.0,193.6447499888625,0.0,0.0,0.0,0.0,13.074325451226677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516199999999943,12.736694049228388,0.0,0.0,0.0,0.0,120.4156954720107,42.22818086524032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.66457720127863,1.5162000000000004,0.0,0.0,113.61715059767823,27.820854604847405,0.0,0.0,0.0,0.0,0.0,0.0,999.1346852622605,0.0,0.0,0.0,0.0,0.0,20.47533280453746,0.0,0.0,0.0,11.158083491256981,0.0,697.2162676171002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.865174681370263e-14,0.0,0.0,0.0,9.282732802948457,0.0,0.0,0.0,0.0,397.817583972986
