,SKM_old_train_01.xml,SKM_old_train_02.xml,SKM_old_train_03.xml,SKM_old_train_04.xml,SKM_old_train_05.xml,SKM_old_train_06.xml,SKM_old_train_07.xml,SKM_old_train_08.xml,SKM_old_train_09.xml,SKM_old_train_10.xml,SKM_old_train_11.xml,SKM_old_train_12.xml,SKM_old_untr_01.xml,SKM_old_untr_02.xml,SKM_old_untr_03.xml,SKM_old_untr_04.xml,SKM_old_untr_05.xml,SKM_old_untr_06.xml,SKM_old_untr_07.xml,SKM_old_untr_08.xml,SKM_old_untr_09.xml,SKM_old_untr_10.xml,SKM_old_untr_11.xml,SKM_old_untr_12.xml
ACACT1rm,0.0,27.746008872592917,125.28183480050086,36.00907627294474,35.994423861010446,69.30997875021474,82.42346916924036,47.10050662116646,68.21123775908083,0.0,42.67456794726738,59.8792670384969,82.6823114436403,35.89457181556731,58.981115342648785,59.194098405883935,91.46032645023215,15.085304688672727,86.07936344278625,41.918556491534076,93.23326888683869,24.6845673174264,45.37487907972497,20.896603346755498
ACACT1x,6.575178063627763e-05,0.0,0.0,0.0,0.0,9.073592587762194,3.757675256846948,6.949695747875329e-14,0.055433359909995705,5.459484814077422,0.37491205912791625,3.158305484893158,7.505906023481476,19.77748638351793,8.231495150856695,52.437216341137336,0.08315003986495917,29.183537349224917,6.107210843755735,-1.2902170804963297e-13,-4.037174635000577e-17,0.0,-3.6434151434311643e-14,0.0
ACACT4p,0.0,0.0,0.5494793611932131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3810932959508962e-13,0.0,0.0,0.0,0.0
ACCOAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.396063330554895,0.0,0.0,0.0,0.0,0.536810750978139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOACm,0.0,0.0,33.02950644248689,0.0,29.103474625641947,36.23472619909182,39.19426848604702,0.0,0.0,55.667402683216466,36.37238477873254,24.5620897490641,0.0,0.0,27.51936620051966,0.0,0.0,0.0,0.0,22.306527961781175,0.0,38.42011728423663,0.0,0.0
ACCOALm,484.6110151349453,418.0337150966915,367.75209071522806,320.7432088425984,295.4984543527792,344.7296054514745,0.0,296.41096100074446,365.94615800608574,380.0794704206421,270.7862068545287,373.5062278685919,339.45593371694906,351.73960816420544,368.220853047049,417.1455669985888,279.7267712824103,0.0,311.8429203439104,341.6462966293503,275.62111960777503,398.2780849999421,346.88873201513354,255.15485194907296
ACGAM6PSi,0.0007846368715622323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAMK,0.0,0.0,0.0,-2.3092638912203256e-14,0.0,4.3879047389664095e-16,0.0,-8.249303624318236e-16,2.3268060956626572e-14,1.1170395159674669,0.0,0.0,-5.301804310102662e-15,0.0,0.0,0.0,-5.6843418860808e-15,0.0,7.404762181455292,5.611796534971729,-5.580304230317144e-14,0.0,5.75549052833546,0.0
ACGAMPM,0.0007846368715622323,0.0,0.0,-2.3092638912203256e-14,0.0,4.3879047389664095e-16,0.0,-8.249303624318234e-16,2.3268060956626566e-14,1.1170395159674669,0.0,0.0,-1.9881766162884983e-15,0.0,0.0,0.0,-3.0198066269804253e-15,0.0,7.404762181455292,5.611796534971951,0.0,0.0,5.75549052833546,0.0
ACITL,0.0007846368715622323,0.0,0.0,0.0,-5.786413366805146e-15,0.0,0.0,21.02407237777803,0.0,0.0,11.936672230013587,0.0,45.57315207105966,0.0,0.0,0.0,0.0,0.0,36.64326506253442,0.0,-4.440892098500646e-16,0.0,0.0,0.0
ACOAD10m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.759742514484041,0.0,0.0,0.0,0.0
ACOAD1fm,0.0,19.11788059625335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD9m,0.0,0.0,0.0,14.39961817605363,0.0,0.0,0.0,0.0,0.0,37.78437731281307,0.0,0.0,0.0,10.835679200610011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.734283314209407,0.0
ACOAO7p,0.0,0.0,0.0,2.359675397929063e-15,0.0,1.0969761847416024e-16,12.480043889132943,0.0,0.0,0.0,0.18745602956395838,6.150310890056332,0.0,3.9554972767035865,8.231495150856698,0.0,0.0,2.0027331061578444,0.0,0.0,0.0,0.0,0.0,0.0
ACONT,-0.0007846368715248744,-10.817157533684654,0.0,0.0,5.786413366805146e-15,0.0,0.0,-21.02407237777803,0.0,0.0,-11.936672230013606,-14.448864285895812,-45.57315207105966,0.0,0.0,-2.89407662964767,0.0,-11.709538302797773,-36.64326506253441,0.0,4.440892098500646e-16,0.0,-28.41284380314974,0.0
